impact,ips,turtle_id,foam_total,foam_micro,foam_meso,foam_macro,frag_total,frag_micro,frag_meso,frag_macro,ind_total,ind_micro,ind_meso,ind_macro,poth_total,poth_micro,poth_meso,poth_macro,she_total,she_micro,she_meso,she_macro,thr_total,thr_micro,thr_meso,thr_macro
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381,0.0381,0,0,1.994859,0,1.994859,0
0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1307.2576,0,0,1307.2576,0,0,0,0
0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28448,2.28448,0,0,2.103552,2.103552,0,0
0,1,85,0,0,0,0,277.40274,22.920084,254.482656,0,0,0,0,0,64.686398,64.686398,0,0,15.86552,15.86552,0,0,12.044273,12.044273,0,0
0,1,99,0,0,0,0,31.194903,31.194903,0,0,0,0,0,0,0,0,0,0,83.038252,83.038252,0,0,6.354325,6.354325,0,0
0,1,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.57958,0,233.57958,0,0,0,0,0
0,1,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1427.44208,304.14745,1123.29463,0,242.234516,124.15874,118.075776,0
0,1,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.839389,72.839389,0,0,3.52666,3.52666,0,0
0,1,2015_03,0,0,0,0,42.078364,42.078364,0,0,0,0,0,0,0,0,0,0,3809.498826,235.609168,3573.889658,0,0.92,0.92,0,0
0,1,2015_04,237.127044,131.96442,105.162624,0,3869.049215,171.292735,265.5105,3432.24598,0,0,0,0,0,0,0,0,149.879298,149.879298,0,0,7.672654,7.672654,0,0
0,1,2016_01,0,0,0,0,2.619396,2.619396,0,0,0,0,0,0,0,0,0,0,285.027632,153.954672,131.07296,0,22.86412,22.86412,0,0
0,1,2016_02,0,0,0,0,2064.057168,122.198612,1941.858556,0,0,0,0,0,318.743544,0,318.743544,0,4549.141071,850.609169,3698.531902,0,0,0,0,0
0,1,2016_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.51292,16.096595,306.416325,0,3.668588,3.668588,0,0
0,1,2016_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.301785,115.544665,317.75712,0,2.778409,2.778409,0,0
0,1,2016_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335.95976,55.40052,280.55924,0,0,0,0,0
0,1,2016_06,3342.097728,0,0,3342.097728,869.673653,38.5572,831.116453,0,0,0,0,0,0,0,0,0,7730.345056,809.90349,3656.359966,3264.0816,1058.99776,91.86183,967.13593,0
0,1,2016_07,0,0,0,0,114.423804,0,114.423804,0,0,0,0,0,0,0,0,0,974.65266,71.48646,903.1662,0,25.7257,25.7257,0,0
0,1,2016_08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.800823,60.800823,0,0,3.363921,3.363921,0,0
0,1,2017_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.74786,0.88752,234.86034,0,11.615346,11.615346,0,0
0,1,2017_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.225316,89.225316,0,0,4.69965,4.69965,0,0
0,1,2017_03,0,0,0,0,1872.2124,0,0,1872.2124,0,0,0,0,0,0,0,0,255.31517,9.04317,246.272,0,0,0,0,0
0,1,2017_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.958536,74.438626,233.51991,0,17.728878,17.728878,0,0
0,1,2017_05,0,0,0,0,4831.666484,0,0,4831.666484,0,0,0,0,0,0,0,0,398.50077,398.50077,0,0,0,0,0,0
0,1,2018_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.121088,19.121088,0,0,1.864192,1.864192,0,0
0,1,2018_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.394875,246.394875,0,0,194.9477576,194.9477576,0,0
0,1,2018_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2683.914463,0,2683.914463,0,3.388486,3.388486,0,0
0,1,2018_04,0,0,1493.078259,0,1563.10966,70.031401,0,0,0,0,0,0,0,0,0,0,1317.979825,375.301982,942.677843,0,0.05856,0.05856,0,0
0,1,2018_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1587.625844,90.346844,0,1497.279,20.401315,20.401315,0,0
0,1,2018_06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589.66116,32.37544,557.28572,0,1.13595,1.13595,0,0
0,1,2018_07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4407.380306,328.95104,3016.408276,1062.02099,265.1437,265.1437,0,0
0,1,2018_08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1877.259398,446.41809,1430.841308,0,166.922686,166.922686,0,0
0,1,2018_09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.20203,84.20203,0,0,1.355827,1.355827,0,0
0,1,2018_11,0,0,0,0,0,0,0,0,10.03574,10.03574,0,0,0,0,0,0,365.11087,245.67582,119.43505,0,0,0,0,0
0,1,2018_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.830609,1.830609,0,0
0,1,2018_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6613,2.6613,0,0,4.595432,4.595432,0,0
0,1,2018_14,0,0,0,0,6.217344,6.217344,0,0,0,0,0,0,0,0,0,0,12.81137,12.81137,0,0,1.790136,1.790136,0,0
0,1,2018_15,0,0,0,0,1795.25775,172.5092,566.234246,1056.514304,0,0,0,0,203.235732,0,203.235732,0,606.853749,157.909424,448.944325,0,0,0,0,0
0,1,2018_16,0,0,0,0,22.235448,22.235448,0,0,0,0,0,0,0,0,0,0,1161.011178,233.987082,927.024096,0,86.254856,86.254856,0,0
0,1,2018_17,838.376684,146.25797,692.118714,0,0,0,0,0,0,0,0,0,0,0,0,0,562.974433,228.336766,334.637667,0,89.624834,89.624834,0,0
0,1,2018_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350.39135,9.59135,0,2340.8,6.990314,6.990314,0,0
0,1,2018_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.498638,1.5545,117.944138,0,8.494152,8.494152,0,0
0,1,2018_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3184.336893,64.062696,539.532597,2580.7416,42.714895,42.714895,0,0
0,1,2018_22,0,0,0,0,0.250536,0.250536,0,0,0,0,0,0,0,0,0,0,219.865823,9.093703,210.77212,0,105.552241,105.552241,0,0
0,1,2018_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.892,6.892,0,0,1.69558,1.69558,0,0
0,1,2018_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24782,4.24782,0,0,12.0339,12.0339,0,0
0,1,2018_25,0,0,0,0,0.0759,0.0759,0,0,0,0,0,0,0,0,0,0,1.48854,1.48854,0,0,23.490038,23.490038,0,0
0,1,2019_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1239.375632,376.896354,862.479278,0,103.058335,103.058335,0,0
0,1,2019_02,0,0,0,0,3.965328,3.965328,0,0,0,0,0,0,0,0,0,0,311.88011,121.12685,190.75326,0,839.961755,169.680507,670.281248,0
0,1,2019_03,0,0,0,0,554.658684,50.906526,503.752158,0,0,0,0,0,0,0,0,0,0,0,0,0,109.863783,109.863783,0,0
0,1,2019_05,0,0,0,0,1.377822,1.377822,0,0,0,0,0,0,0,0,0,0,18.73685,18.73685,0,0,20.86087,20.86087,0,0
0,1,2019_06,0,0,0,0,236.00966,236.00966,0,0,0,0,0,0,0,0,0,0,1352.540338,472.399778,880.14056,0,357.080103,6.066776,351.013327,0
0,1,2019_07,0,0,0,0,34.191118,34.191118,0,0,0,0,0,0,0,0,0,0,32.96728,32.96728,0,0,5.4379,5.4379,0,0
0,1,2019_09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413.12361,28.36773,384.75588,0,1.713494,1.713494,0,0
0,1,2019_10,0,0,0,0,5.251328,5.251328,0,0,0,0,0,0,0,0,0,0,1273.054644,5.44193,1267.612714,0,89.543749,89.543749,0,0
0,1,2019_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.525501,24.525501,0,0
0,1,2019_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1818.20134,98.13309,271.407554,1448.660696,89.610576,89.610576,0,0
0,1,2019_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2352.04861,0,152.44285,2199.60576,86.651872,86.651872,0,0
0,1,2019_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.786591,32.774367,152.012224,0,22.50944,22.50944,0,0
0,1,2019_16,0,0,0,0,0.027664,0.027664,0,0,0,0,0,0,0,0,0,0,920.953352,125.575647,795.377705,0,0.023005,0.023005,0,0
0,1,2019_18,0,0,0,0,3.456288,3.456288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2019_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2617,1.2617,0,0,60.254,60.254,0,0
0,1,2019_20,0,0,0,0,0,0,0,0,0,0,0,0,585.411255,0,585.411255,0,0,0,0,0,0,0,0,0
0,1,2019_21,0,0,0,0,10.423305,10.423305,0,0,0,0,0,0,645.259638,13.98951,631.270128,0,17.102246,17.102246,0,0,29.272847,29.272847,0,0
0,1,2019_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.43821,206.16033,118.27788,0,0,0,0,0
0,1,2019_23,7120.236224,0,0,7120.236224,1326.97314,194.552655,1132.420485,0,0,0,0,0,0,0,0,0,9051.540776,368.84898,1233.500796,7449.191,19.205746,19.205746,0,0
0,1,2019_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.64992,105.33042,141.3195,0,0,0,0,0
0,1,2019_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599.16722,178.63174,420.53548,0,10.211,10.211,0,0
0,1,2019_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.42602,261.94592,100.4801,0,0,0,0,0
0,1,2019_33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92442,0.92442,0,0,0.4159,0.4159,0,0
0,1,2019_37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.8082,43.24784,395.56036,0,0,0,0,0
0,1,2019_38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.17608,68.17608,0,0,0.0746,0.0746,0,0
0,1,2019_39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.281914,0,126.281914,0,0,0,0,0
0,1,2020_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82043,7.82043,0,0
0,1,2020_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.768704,25.768704,0,0,0,0,0,0
0,1,2020_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3398.373612,171.271168,913.714944,2313.3875,1718.533488,72.217488,0,1646.316
0,1,2020_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2128,7.2128,0,0
0,1,2020_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5011,2.5011,0,0,0,0,0,0
0,1,2020_07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2534.862196,17.893196,396.583616,2120.385384,0,0,0,0
0,1,2020_08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.263964,1.263964,0,0,0,0,0,0
0,1,2020_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.104454,27.104454,0,0
0,1,2020_13,152.948576,0,152.948576,0,0,0,0,0,0,0,0,0,0,0,0,0,2368.80049,283.093,2085.70749,0,27.55698,27.55698,0,0
0,1,2020_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641.44225,320.84858,1320.59367,0,83.66221,83.66221,0,0
1,2,7,2309.365525,549.149929,1760.215596,0,5861.880407,716.808764,3534.029635,1611.042008,0,0,0,0,2501.696351,187.019179,1196.87674,1117.800432,7146.833994,1603.064693,5543.769301,0,2597.282864,19.498523,2577.784341,0
1,2,9,9755.44309,375.719778,2956.130304,6423.593008,11522.14321,2177.468252,6472.221971,2872.452984,138.850388,138.850388,0,0,2202.398057,450.634227,1751.76383,0,21008.89009,4730.230179,12453.87017,3824.78974,4940.690471,1623.026972,3317.663499,0
1,2,25,0,0,0,0,7010.081028,47.6034,2713.805028,4248.6726,0,0,0,0,606.083455,76.61588,529.467575,0,7943.580796,582.374005,3192.191651,4169.01514,594.561979,21.167881,573.394098,0
1,2,31,2506.819634,378.849624,2127.97001,0,44809.47326,3885.20354,27929.08932,12995.1804,169.892954,169.892954,0,0,3198.283274,83.827817,1730.110017,1384.34544,28939.36805,5775.788247,12846.89834,10316.68146,11126.62117,1795.88781,5061.149326,4269.58403
1,2,45,597.32288,0,597.32288,0,7083.906748,246.151,3414.646128,3423.10962,0,0,0,0,3841.629569,169.243413,332.941484,3339.444672,3053.498935,1847.057,1206.441935,0,1545.322562,348.758194,1196.564368,0
1,2,67,32103.18717,385.478456,2608.458401,29109.25031,5960.316343,1374.250981,2803.503042,1782.56232,0,0,0,0,803.84516,4.1184,799.72676,0,20451.25119,3326.682633,12199.21958,4925.348978,4769.633399,247.195453,1807.128802,2715.309144
1,2,77,0,0,0,0,0,0,0,0,0,0,0,0,13.675331,13.675331,0,0,653.747819,419.797739,233.95008,0,520.025446,520.025446,0,0
1,2,78,176.961237,7.560432,169.400805,0,314.172808,0.971872,313.200936,0,0,0,0,0,11.69416,11.69416,0,0,515.39478,177.96937,337.42541,0,391.518099,391.518099,0,0
1,2,110,4178.609335,318.717202,3859.892133,0,11399.82551,1343.601666,8540.853145,1515.370701,23.721984,23.721984,0,0,1692.659228,586.216868,1106.44236,0,5223.599995,2237.278898,2986.321097,0,5787.075551,681.7479105,822.32452,4283.00312
1,2,113,5863.526551,189.570275,1345.119918,4328.836358,7236.791442,1600.54843,5636.243012,0,0,0,0,0,6942.224668,229.892817,1999.852777,4712.479074,10104.08744,3121.751901,6982.335535,0,1419.363265,643.591898,775.771367,0
1,2,2015_02,0,0,0,0,1326.802175,466.022699,860.779476,0,0,0,0,0,0,0,0,0,0,0,0,0,6.03765,6.03765,0,0
1,2,2018_18,143.763984,0,143.763984,0,0,0,0,0,0,0,0,0,0,0,0,0,662.026479,37.859073,624.167406,0,733.438591,540.106711,193.33188,0
1,2,2019_13,620.748468,155.7982,464.950268,0,6705.375234,107.851906,1352.176472,5245.346856,0,0,0,0,0,0,0,0,13372.65538,1982.466048,10157.23733,1232.952,75.591984,75.591984,0,0
1,2,2020_14,0,0,0,0,139.347454,139.347454,0,0,0,0,0,0,0,0,0,0,420.739707,420.739707,0,0,2195.56082,72.97521,2122.58561,0
1,3,4,9047.297502,157.637258,3876.024616,5013.635628,7221.84815,2327.033916,4894.814234,0,33.695088,33.695088,0,0,49118.55746,368.801335,3660.740273,45089.01585,16589.81975,4657.424238,9959.559264,1972.83625,4582.332867,2308.896686,2273.436181,0
1,3,34,954.874956,29.743014,925.131942,0,2480.849588,154.109637,2326.739951,0,30.736925,30.736925,0,0,260.291886,70.766118,189.525768,0,20037.26377,4190.518556,15846.74521,0,590.871941,401.966405,188.905536,0
1,3,57,22584.82812,1807.620693,6970.901492,13806.30593,8554.636967,1257.990463,7296.646504,0,45.897658,45.897658,0,0,6280.022768,234.607544,4865.601624,1179.8136,6956.157567,2190.780861,4765.376706,0,749.532969,245.009625,504.523344,0
1,3,60,5.991438,5.991438,0,0,724.022518,531.459342,192.563176,0,0,0,0,0,92.552625,92.552625,0,0,1964.461857,725.449376,1239.012481,0,34.076655,34.076655,0,0
1,3,65,258.7706,0,258.7706,0,13219.29652,839.896898,5563.290739,6816.108878,0,0,0,0,7773.905698,421.015268,697.737602,6655.152828,25693.70985,3192.281942,7882.357551,14619.07036,3693.957361,1052.922685,2641.034676,0
1,3,81,145.943008,145.943008,0,0,43553.2938,7678.957665,31892.36821,3981.96792,0,0,0,0,434.143401,55.391621,378.75178,0,6519.581661,3484.392032,1980.577609,1054.61202,697.964516,409.861004,288.103512,0
1,3,106,98.136522,98.136522,0,0,15625.83076,5135.756372,10490.07439,0,248.589719,248.589719,0,0,4967.210751,434.198798,3479.931997,1053.079956,5256.962849,2214.764303,3042.198546,0,1254.628775,964.524936,290.103839,0
1,3,111,0,0,0,0,12940.68792,1867.207804,6515.431183,4558.048932,0,0,0,0,7345.928082,179.950506,260.444761,6905.532815,6348.877066,2425.994416,2749.94271,1172.93994,300.098754,300.098754,0,0
1,3,114,3791.355138,320.63787,678.264708,2792.45256,8821.962866,1213.660312,5281.747434,2326.55512,14.7894,14.7894,0,0,1020.269294,59.705954,960.56334,0,11747.97628,3298.84966,8449.126622,0,1998.046213,197.50325,1800.542963,0
1,3,119,3115.822704,1093.160342,2022.662362,0,6687.240535,2903.632414,3783.608121,0,0,0,0,0,359.960136,10.472,349.488136,0,22438.19907,4307.19622,15347.32695,2783.675898,2790.764185,1582.769441,1207.994744,0
